disease_1,disease_2,edge_weight
C0272052,C2675512,0.0043478273
C0272052,C1838457,0.044462305
C0272052,C1853371,0.010000003
C0272052,C1853297,0.012903228000000001
C0272052,C0004096,0.005263159
C0272052,C1266144,0.008333336
C0272052,C2675866,0.022222227999999997
C0272052,C1864623,0.020000005
C0272052,C0032463,0.013333336999999999
C1266144,C0011880,0.012500003
C1266144,C1852092,0.009090912
C1266144,C0342277,0.022222227999999997
C1266144,C0007785,0.022222227999999997
C1266144,C2678338,0.010000003
C1266144,C0020481,0.025000006
C1266144,C1838100,0.0064516140000000005
C1266144,C0740302,0.008695655
C1266144,C1833382,0.0043478273
C1266144,C1838457,0.010000003
C1266144,C0004096,0.011111113999999998
C1266144,C0272052,0.008333336
C1266144,C1266144,0.022222227999999997
C1266144,C2675866,0.01538462
C1837915,C0011880,0.027586213999999998
C1837915,C0034091,0.010526318
C1837915,C1852093,0.0044444455
C1837915,C0007785,0.059259273
C1837915,C2678338,0.008000001
C1837915,C2675212,0.0066666686999999995
C1837915,C0020474,0.00769231
C1837915,C0740302,0.0075471719999999996
C1837915,C1833382,0.012500003
C1837915,C2675512,0.007407409
C1837915,C1863512,0.005263159
C1837915,C1838457,0.0044444455
C1837915,C1853297,0.0064516140000000005
C1837915,C0004096,0.012500003
C1837915,C0272052,0.030000008999999998
C1837915,C1266144,0.011764709
C1837915,C2675866,0.009090912
C1864623,C2674218,0.00769231
C1864623,C0011880,0.01538462
C1864623,C0034091,0.03076924
C1864623,C0342277,0.004761906
C1864623,C1852093,0.008333336
C1864623,C0007785,0.016666671
C1864623,C0431693,0.009090912
C1864623,C2678338,0.41714287
C1864623,C1838100,0.0074213548
C1864623,C0020474,0.0040000007
C1864623,C1838457,7.359492599999999e-08
C1864623,C1853371,0.0071428590000000005
C1864623,C0004096,0.011764709
C1864623,C1266144,0.010526318
C0032463,C0011880,0.010526318
C0032463,C1852092,0.010526318
C0032463,C0034091,0.004166668
C0032463,C0342277,0.04000001
C0032463,C1852093,0.011111113999999998
C0032463,C0007785,0.0071428590000000005
C0032463,C0431693,0.0048780496999999996
C0032463,C0002876,0.0060606077
C0032463,C1838100,0.0068965536
C0032463,C2675212,0.0071428590000000005
C0032463,C1833382,0.0048780496999999996
C0032463,C2675512,0.004166668
C0032463,C1838457,0.0058823545
C0032463,C1853297,0.01739131
C2930930,C0011880,0.033333343
C2930930,C1852092,0.023529418
C2930930,C0034091,0.04000001
C2930930,C1852093,0.0071428590000000005
C2930930,C2678338,0.020000005
C2930930,C0002876,0.009302326999999999
C2930930,C2675512,0.019047624
C2930930,C1838457,0.020000005
C1836861,C0011880,0.005263159
C1836861,C0034091,0.011111113999999998
C1836861,C0431693,0.008695655
C1836861,C2678338,0.010526318
C1836861,C0020481,0.008695655
C1836861,C1838100,0.022222227999999997
C1836861,C2675212,0.020000005
C1836861,C0020474,0.0064516140000000005
C1836861,C0740302,0.015789477
C1836861,C1833382,0.008333336
C1836861,C2675512,0.022222227999999997
C1836861,C1838457,0.020000005
C1836861,C1853371,0.04000001
C1864839,C0011880,0.011764709
C1864839,C0011880,0.08000002
C1864839,C0034091,0.0071428590000000005
C1864839,C0007785,0.010000003
C1864839,C2678338,0.0046511637
C1864839,C1969343,0.009523812
C1864839,C2675512,0.020000005
C1857775,C2674218,0.0043478273
C1857775,C0011880,0.013636367
C1857775,C1852092,0.014035091000000001
C1857775,C1852093,0.0040816334000000004
C1857775,C0007785,0.008888891
C1857775,C0431693,0.011111113999999998
C1857775,C0020481,0.005714286999999999
C1857775,C0002876,0.008695655
C1857775,C1838100,0.010526318
C1857775,C2675212,0.0031250007
C1857775,C0740302,0.0040000007
C1857775,C1969343,0.005714286999999999
C1857775,C2675512,0.005555556999999999
C1857775,C1863512,0.014634148999999999
C0152264,C2674218,0.012500003
C0152264,C0011880,0.00769231
C0152264,C0011880,0.005128206
C0152264,C0034091,0.013333336999999999
C0152264,C0342277,0.012903228000000001
C0152264,C1852093,0.007407409
C0152264,C0007785,0.011111113999999998
C0152264,C0020474,0.012500003
C0152264,C1969343,0.028571436000000002
C2677132,C0011880,0.007407409
C2677132,C0034091,0.010526318
C2677132,C1852093,0.004761906
C2677132,C2675212,0.010000003
C2677132,C0740302,0.022222227999999997
C0340968,C2674218,0.005405406999999999
C0340968,C1852092,0.0068965536
C0340968,C0034091,0.024000006
C0340968,C0342277,0.003846155
C0340968,C0007785,0.013333336999999999
C0340968,C0431693,0.00769231
C0340968,C2678338,0.010810813999999998
C0340968,C0020481,0.004545456
C0340968,C1838100,0.0066666686999999995
C0340968,C2675212,0.013333336999999999
C0340968,C0740302,0.012500003
C0340968,C1969343,0.019047624
C1833104,C0011880,0.00477498
C1833104,C0034091,0.01538462
C1833104,C0431693,0.0040000007
C1833104,C2678338,0.0035087727
C1833104,C0020481,6.132910400000001e-08
C1833104,C0002876,0.0046511637
C1833104,C2675212,0.012500003
C1833104,C0740302,0.011764709
C0221018,C1852092,0.008888891
C0221018,C0342277,1.7846769e-05
C0221018,C0007785,0.0066666686999999995
C0221018,C2678338,0.035295974
C0221018,C2675212,0.022222227999999997
C1843687,C2674218,0.0066666686999999995
C1843687,C0011880,0.010526318
C1843687,C1852092,0.010000003
C1843687,C0034091,0.0064516140000000005
C1843687,C0342277,0.004761906
C1843687,C1852093,0.0040816334000000004
C1843687,C0007785,1.4688320000000001e-05
C1843687,C0431693,0.017142862
C1843687,C2678338,0.010000003
C1843687,C0020481,0.016666671
C1843687,C0002876,0.009523812
C1843687,C1838100,0.00769231
C1720779,C2674218,0.0037735859999999998
C1720779,C0011880,0.012500003
C1720779,C1852092,0.007407409
C1720779,C0034091,0.010526318
C1720779,C0342277,0.0044444455
C1720779,C0007785,0.0064516140000000005
C1720779,C0431693,0.012500003
C1720779,C0020481,0.011764709
C1720779,C0002876,0.009090912
C2931384,C0011880,0.0046511637
C2931384,C0011880,0.007407409
C2931384,C1852092,0.009230772
C2931384,C0034091,0.008333336
C2931384,C0342277,0.003846155
C2931384,C1852093,0.01034483
C2931384,C0007785,0.0046511637
C2931384,C0431693,0.012765961000000001
C2931384,C2678338,0.004545456
C2931384,C0020481,0.008163267
C1306856,C0011880,0.014814818
C2675192,C2674218,0.011764709
C2675192,C0011880,0.0071428590000000005
C2675192,C0011880,0.005714286999999999
C2675192,C0034091,0.009523812
C2675192,C0342277,0.033333343
C2675192,C0007785,0.028571436000000002
C2675192,C0431693,0.016666671
C1835817,C2674218,0.005128206
C1835817,C0011880,0.021739135
C1835817,C1852092,0.0062500015
C1835817,C0034091,0.011764709
C1835817,C1852093,0.011111113999999998
C1835817,C0007785,0.03478262
C1306856,C2674218,0.010526318
C1306856,C0011880,0.0046511637
C1306856,C1852092,0.0071428590000000005
C1306856,C0342277,0.0068965536
C1306856,C1852093,0.011764709
C1856797,C0011880,0.0040000007
C1856797,C0011880,0.005714286999999999
C1856797,C0034091,0.005555556999999999
C1856797,C0342277,0.019512198999999997
C1845028,C0011880,0.013333336999999999
C1845028,C1852092,0.012500003
C0031190,C2674218,0.009523812
C0031190,C0011880,0.008000001
C0031190,C0011880,0.009090912
C0031190,C1852092,0.007407409
C0014761,C0011880,0.028571436000000002
C0014761,C0011880,0.016666671
C0162316,C2674218,0.01538462
