disease_1,disease_2,edge_weight
DOID:13809,DOID:4769,0.033333343
DOID:13809,DOID:0110757,0.009090912
DOID:13809,DOID:0060334,0.0044444455
DOID:13809,DOID:0060652,0.008695655
DOID:13809,DOID:0111077,0.016666671
DOID:0090016,DOID:1837,0.0036036046
DOID:0090016,DOID:0110919,0.01739131
DOID:14557,DOID:0110916,0.010000003
DOID:14557,DOID:9351,0.0033057858
DOID:14557,DOID:5453,0.010526318
DOID:14557,DOID:0111100,0.009523812
DOID:14557,DOID:0111101,0.008695655
DOID:14557,DOID:1338,0.007407409
DOID:14557,DOID:0111102,0.0060606077
DOID:14557,DOID:13809,0.020000005
DOID:14557,DOID:14557,0.010000003
DOID:14557,DOID:1339,0.012903228000000001
DOID:14557,DOID:0090105,0.010526318
DOID:14557,DOID:0111104,0.004761906
DOID:14557,DOID:0050641,0.011764709
DOID:14557,DOID:0110757,0.0070175454
DOID:14557,DOID:0111106,0.017142862
DOID:14557,DOID:0060652,0.016666671
DOID:0111103,DOID:0110916,0.0018691593
DOID:0111103,DOID:0110741,0.08000002
DOID:0111103,DOID:5453,0.057142872000000004
DOID:0111103,DOID:6713,0.022222227999999997
DOID:0111103,DOID:1171,0.03076924
DOID:0111103,DOID:1338,0.010526318
DOID:0111103,DOID:0110919,0.033333343
DOID:0111103,DOID:0090016,0.100000024
DOID:0111103,DOID:0111103,0.011764709
DOID:0111103,DOID:1339,0.08000002
DOID:0111103,DOID:0111089,0.0071428590000000005
DOID:0111103,DOID:2841,0.010000003
DOID:0111103,DOID:4769,0.0046511637
DOID:0111103,DOID:0111091,0.009523812
DOID:0111103,DOID:0060638,0.020000005
DOID:1339,DOID:9351,0.01034483
DOID:1339,DOID:1837,0.0018867929999999999
DOID:1339,DOID:0110741,0.0018518523
DOID:1339,DOID:0111099,0.0018181822
DOID:1339,DOID:0110918,0.0035087727
DOID:1339,DOID:1171,0.0050000013
DOID:1339,DOID:0111102,0.0018691593
DOID:1339,DOID:0110919,0.0036363644
DOID:1339,DOID:13809,0.0018691593
DOID:1339,DOID:0090016,0.007352943000000001
DOID:1339,DOID:14557,0.0016949157
DOID:1339,DOID:0111103,0.0018867929999999999
DOID:1339,DOID:1339,0.0017241384
DOID:1339,DOID:0090105,0.006201551800000001
DOID:1339,DOID:0111089,0.0036697254999999997
DOID:1339,DOID:0111105,0.0016528929
DOID:1339,DOID:0050641,0.011111113999999998
DOID:1339,DOID:0060474,0.008474578
DOID:1339,DOID:0060334,0.00775194
DOID:1339,DOID:8997,0.02058824
DOID:1339,DOID:14221,0.0065573785
DOID:1339,DOID:0111106,0.0018018023
DOID:1339,DOID:0060652,0.007079648000000001
DOID:0090105,DOID:0110916,0.011764709
DOID:0090105,DOID:5453,0.018181823
DOID:0090105,DOID:6713,0.011111113999999998
DOID:0090105,DOID:0111102,0.018181823
DOID:0090105,DOID:13809,0.005405406999999999
DOID:0090105,DOID:0111103,0.011764709
DOID:0090105,DOID:0111104,0.009090912
DOID:0090105,DOID:0111105,0.022222227999999997
DOID:0090105,DOID:2841,0.0044444455
DOID:0090105,DOID:4769,0.025000006
DOID:0090105,DOID:0110757,0.010526318
DOID:0090105,DOID:0060474,0.0066666686999999995
DOID:0090105,DOID:0060334,0.005405406999999999
DOID:0090105,DOID:6132,0.008695655
DOID:0090105,DOID:14221,0.025000006
DOID:0090105,DOID:0111106,0.022222227999999997
DOID:0090105,DOID:0060638,0.014285718000000001
DOID:0111089,DOID:0110741,0.011111113999999998
DOID:0111089,DOID:0111099,0.008000001
DOID:0111089,DOID:6713,0.009090912
DOID:0111089,DOID:1338,0.044444457
DOID:0111089,DOID:0110919,0.009090912
DOID:0111089,DOID:14557,0.016666671
DOID:0111089,DOID:0111103,0.005405406999999999
DOID:0111089,DOID:0111089,0.0068965536
DOID:0111089,DOID:0111104,0.008000001
DOID:0111089,DOID:0111105,0.00769231
DOID:0111089,DOID:0050641,0.013333336999999999
DOID:0111089,DOID:4769,0.038461547
DOID:0111089,DOID:0110757,0.005405406999999999
DOID:0111089,DOID:0060474,0.027272735
DOID:0111089,DOID:8997,0.0066666686999999995
DOID:0111089,DOID:6132,0.013333336999999999
DOID:0111089,DOID:0111091,0.012500003
DOID:0111089,DOID:0111106,0.04761906
DOID:0111104,DOID:0110916,0.066666685
DOID:0111104,DOID:0110741,0.025000006
DOID:0111104,DOID:0111099,0.016666671
DOID:0111104,DOID:6713,0.011111113999999998
DOID:0111104,DOID:0110918,0.04000001
DOID:0111104,DOID:1338,0.08000002
DOID:0111104,DOID:0110919,0.012500003
DOID:0111104,DOID:13809,0.100000024
DOID:0111104,DOID:14557,0.007407409
DOID:0111104,DOID:0090105,0.010526318
DOID:0111104,DOID:0111104,0.004761906
DOID:0111104,DOID:0060334,0.010000003
DOID:0111104,DOID:6132,0.022222227999999997
DOID:0111105,DOID:1837,0.020000005
DOID:0111105,DOID:0111100,0.014285718000000001
DOID:0111105,DOID:0111099,0.010000003
DOID:0111105,DOID:0111101,0.028571436000000002
DOID:0111105,DOID:1171,0.057142872000000004
DOID:0111105,DOID:0111102,0.011111113999999998
DOID:0111105,DOID:0110919,0.066666685
DOID:0111105,DOID:0090016,0.0068965536
DOID:0111105,DOID:1339,0.009523812
DOID:0111105,DOID:0111089,0.004545456
DOID:0111105,DOID:0060474,0.009090912
DOID:0111105,DOID:8997,0.018181823
DOID:0050641,DOID:1837,0.010526318
DOID:0050641,DOID:6713,0.016666671
DOID:0050641,DOID:0110918,0.005263159
